data;vxewz
6-abr-20;80.26
3-abr-20;87.19
2-abr-20;85.32
1-abr-20;89.73
31-mar-20;84.5
30-mar-20;90.9
27-mar-20;97.32
26-mar-20;87.04
25-mar-20;105.55
24-mar-20;117.11
23-mar-20;134.61
20-mar-20;134.93
19-mar-20;140.83
18-mar-20;144.17
17-mar-20;125.96
16-mar-20;144.42
13-mar-20;103.74
12-mar-20;100.13
11-mar-20;77.2
10-mar-20;58.14
9-mar-20;64.79
6-mar-20;48.23
5-mar-20;42.87
4-mar-20;36.28
3-mar-20;40.98
2-mar-20;37.63
28-fev-20;46.45
27-fev-20;40.03
26-fev-20;34.17
25-fev-20;34.23
24-fev-20;32.37
21-fev-20;27.26
20-fev-20;25.34
19-fev-20;24.77
18-fev-20;26.05
14-fev-20;25.42
13-fev-20;26.57
12-fev-20;25.88
11-fev-20;26.68
10-fev-20;27.58
7-fev-20;28.09
6-fev-20;27.63
5-fev-20;26.43
4-fev-20;27.61
3-fev-20;29.33
31-jan-20;31
30-jan-20;28.32
29-jan-20;27.58
28-jan-20;27.63
27-jan-20;29.84
24-jan-20;25.24
23-jan-20;24.14
22-jan-20;24.66
21-jan-20;26.33
17-jan-20;23.96
16-jan-20;24.9
15-jan-20;25.89
14-jan-20;25.08
13-jan-20;25.82
10-jan-20;26.68
9-jan-20;26.8
8-jan-20;28.14
7-jan-20;27.55
6-jan-20;27.86
3-jan-20;26.32
2-jan-20;25.39
31-dez-19;27.42
30-dez-19;27.69
27-dez-19;25.88
26-dez-19;23.96
24-dez-19;24.13
23-dez-19;23.73
20-dez-19;24.36
19-dez-19;23.95
18-dez-19;24.26
17-dez-19;23.73
16-dez-19;23.86
13-dez-19;23.95
12-dez-19;24.36
11-dez-19;25.25
10-dez-19;26
9-dez-19;25.44
6-dez-19;24.44
5-dez-19;25.57
4-dez-19;25.25
3-dez-19;26.46
2-dez-19;25.84
29-nov-19;26.74
27-nov-19;27.11
26-nov-19;27.59
25-nov-19;26.65
22-nov-19;26.92
21-nov-19;27.61
20-nov-19;28.61
19-nov-19;29.16
18-nov-19;29.36
15-nov-19;27.82
14-nov-19;29.92
13-nov-19;30.03
12-nov-19;30.82
11-nov-19;30.16
8-nov-19;29.53
7-nov-19;27.2
6-nov-19;27.96
5-nov-19;28.55
4-nov-19;29.14
1-nov-19;27.88
31-out-19;27.55
30-out-19;26.57
29-out-19;27.45
28-out-19;27.15
25-out-19;26.82
24-out-19;27.58
23-out-19;27.21
22-out-19;28.1
21-out-19;28.17
18-out-19;28.4
17-out-19;29.36
16-out-19;28.75
15-out-19;28.71
14-out-19;29.59
11-out-19;29.76
10-out-19;31.84
9-out-19;32.65
8-out-19;33.51
7-out-19;32.65
4-out-19;30.25
3-out-19;32
2-out-19;33.04
1-out-19;30.87
30-set-19;29.95
27-set-19;30.39
26-set-19;29.71
25-set-19;30.54
24-set-19;30.71
23-set-19;29.47
20-set-19;29.51
19-set-19;29.72
18-set-19;30.55
17-set-19;31.36
16-set-19;31.88
13-set-19;30.71
12-set-19;29.75
11-set-19;30.31
10-set-19;31.35
9-set-19;31.2
6-set-19;30.72
5-set-19;31.88
4-set-19;31.98
3-set-19;32.9
30-ago-19;31.47
29-ago-19;33.15
28-ago-19;34.94
27-ago-19;36.94
26-ago-19;37.35
23-ago-19;36.42
22-ago-19;32.85
21-ago-19;33.13
20-ago-19;34.13
19-ago-19;35.06
16-ago-19;33.52
15-ago-19;35.36
14-ago-19;35.31
13-ago-19;31.32
12-ago-19;32.93
9-ago-19;29.86
8-ago-19;30.38
7-ago-19;32.38
6-ago-19;32.41
5-ago-19;34.21
2-ago-19;29.5
1-ago-19;30.53
31-jul-19;29.44
30-jul-19;28.71
29-jul-19;28.4
26-jul-19;27.28
25-jul-19;28.49
24-jul-19;27.21
23-jul-19;27.84
22-jul-19;27.59
19-jul-19;26.77
18-jul-19;25.84
17-jul-19;26.99
16-jul-19;27.12
15-jul-19;27.28
12-jul-19;27.94
11-jul-19;27.34
10-jul-19;28.86
9-jul-19;30.9
8-jul-19;31.38
5-jul-19;30.35
3-jul-19;31.98
2-jul-19;32.28
1-jul-19;31.52
28-jun-19;31.75
27-jun-19;31.69
26-jun-19;31.82
25-jun-19;32.86
24-jun-19;30.89
21-jun-19;29.84
20-jun-19;29.9
19-jun-19;30.83
18-jun-19;32.66
17-jun-19;33.53
14-jun-19;33.17
13-jun-19;31.99
12-jun-19;32.47
11-jun-19;32.17
10-jun-19;33.1
7-jun-19;31.81
6-jun-19;33.04
5-jun-19;34.11
4-jun-19;32.84
3-jun-19;33.47
31-mai-19;33.14
30-mai-19;32.95
29-mai-19;32.41
28-mai-19;32.77
24-mai-19;32.3
23-mai-19;32.93
22-mai-19;33.01
21-mai-19;33.29
20-mai-19;35.55
17-mai-19;34.93
16-mai-19;34.35
15-mai-19;33.98
14-mai-19;34.21
13-mai-19;36.77
10-mai-19;33.48
9-mai-19;34.36
8-mai-19;33.21
7-mai-19;33.7
6-mai-19;32.39
3-mai-19;29.73
2-mai-19;30.55
1-mai-19;31.03
30-abr-19;30.24
29-abr-19;31.12
26-abr-19;30.48
25-abr-19;30.66
24-abr-19;31.63
23-abr-19;31.02
22-abr-19;31.7
18-abr-19;30.72
17-abr-19;31.95
16-abr-19;31.28
15-abr-19;31.35
12-abr-19;32.15
11-abr-19;30.17
10-abr-19;29.31
9-abr-19;30.08
8-abr-19;30.06
5-abr-19;30.23
4-abr-19;31.59
3-abr-19;32.4
2-abr-19;31.25
1-abr-19;32.51
29-mar-19;34.82
28-mar-19;35.96
27-mar-19;37.7
26-mar-19;33.11
25-mar-19;36.03
22-mar-19;37.61
21-mar-19;31.61
20-mar-19;30.16
19-mar-19;28.4
18-mar-19;28.44
15-mar-19;27.92
14-mar-19;28.48
13-mar-19;28.27
12-mar-19;28.43
11-mar-19;29.2
8-mar-19;31.09
7-mar-19;31.86
6-mar-19;31.81
5-mar-19;30.29
4-mar-19;30.96
1-mar-19;30.28
28-fev-19;29.97
27-fev-19;28.98
26-fev-19;29.28
25-fev-19;30.24
22-fev-19;29.46
21-fev-19;30.89
20-fev-19;31.93
19-fev-19;31.82
15-fev-19;31.04
14-fev-19;29.89
13-fev-19;30.92
12-fev-19;31.77
11-fev-19;31.91
8-fev-19;31.51
7-fev-19;32.26
6-fev-19;33.2
5-fev-19;30.7
4-fev-19;31.3
1-fev-19;30.61
31-jan-19;32
30-jan-19;32.19
29-jan-19;33.02
28-jan-19;33.9
25-jan-19;32.37
24-jan-19;32.08
23-jan-19;32.46
22-jan-19;33.35
18-jan-19;30.06
17-jan-19;31.31
16-jan-19;30.88
15-jan-19;32.48
14-jan-19;32.73
11-jan-19;30.84
10-jan-19;31.93
9-jan-19;31.86
8-jan-19;33.85
7-jan-19;34.51
4-jan-19;34.57
3-jan-19;35.98
2-jan-19;36.17
31-dez-18;37.02
28-dez-18;37.28
27-dez-18;37.43
26-dez-18;37.09
24-dez-18;38.03
21-dez-18;35.93
20-dez-18;35.52
19-dez-18;35.8
18-dez-18;34.68
17-dez-18;34.77
14-dez-18;33.33
13-dez-18;32.54
12-dez-18;34.17
11-dez-18;35.59
10-dez-18;36.51
7-dez-18;34.87
6-dez-18;34.17
4-dez-18;33.9
3-dez-18;32.8
30-nov-18;35.04
29-nov-18;36.38
28-nov-18;36.47
27-nov-18;37.41
26-nov-18;39.76
23-nov-18;37.82
21-nov-18;37.23
20-nov-18;39.67
19-nov-18;36.66
16-nov-18;36.53
15-nov-18;38.44
14-nov-18;39.47
13-nov-18;40.52
12-nov-18;41.18
9-nov-18;39.16
8-nov-18;39.38
7-nov-18;38.72
6-nov-18;39.97
5-nov-18;40.38
2-nov-18;40.05
1-nov-18;40.81
31-out-18;41.48
30-out-18;41.67
29-out-18;43.17
26-out-18;46.85
25-out-18;44.65
24-out-18;46.41
23-out-18;42.05
22-out-18;41.12
19-out-18;41.56
18-out-18;41.34
17-out-18;39.08
16-out-18;38.31
15-out-18;40.84
12-out-18;40.9
